Mat 1:2,Gen 50:24,4,brethren abraham jacob isaac
Mat 1:6,1 Kin 1:37,4,king been david solomon
Mat 1:6,2 Chron 8:11,4,king wife david solomon
Mat 1:21,Zech 13:9,4,name people bring call
Mat 1:23,2 Kin 5:11,4,name god call behold
Mat 1:23,Gen 16:11,4,name call child behold
Mat 1:23,Isa 7:14,4,name virgin call behold
Mat 1:23,Gen 38:24,4,bring child behold forth
Mat 1:23,Zech 13:9,4,name bring god call
Mat 1:23,Jer 49:5,4,bring god behold forth
Mat 2:4,1 Chron 11:13,4,people gathered together where
Mat 2:4,2 Sam 23:11,4,people gathered together where
Mat 2:4,Joel 2:17,4,people priests should where
Mat 2:4,2 Chron 30:3,4,people gathered priests together
Mat 2:4,Neh 8:13,5,people gathered priests together chief
Mat 2:4,2 Chron 32:4,4,people gathered together should
Mat 2:4,Ez 8:15,4,people gathered priests together
Mat 2:4,Josh 8:33,4,people priests should born
Mat 2:6,Isa 14:2,4,israel land people rule
Mat 2:6,Mic 5:2,4,among israel out bethlehem
Mat 2:6,1 Sam 4:3,4,among israel people out
Mat 2:6,Joel 3:2,4,among israel land people
Mat 2:6,2 Chron 20:7,4,israel land people out
Mat 2:6,Ezek 37:12,4,israel land people out
Mat 2:6,Ezek 45:8,4,israel land princes people
Mat 2:6,Ezek 28:25,4,among israel land people
Mat 2:6,Josh 5:6,4,israel land people out
Mat 2:6,Exo 13:18,4,israel land people out
Mat 2:6,Ezek 34:13,4,israel land people out
Mat 2:6,Josh 22:32,4,israel land princes out
Mat 2:6,Josh 24:17,4,among land people out
Mat 2:6,Num 26:4,4,israel land people out
Mat 2:6,Ezek 20:38,4,among israel land out
Mat 2:6,Isa 11:16,4,israel land people out
Mat 2:6,Exo 7:4,4,israel land people out
Mat 2:6,Jer 32:21,4,israel land people out
Mat 2:6,Jer 12:14,5,among israel land people out
Mat 2:6,2 Sam 19:9,4,israel land people out
Mat 2:6,1 Sam 9:16,4,israel land people out
Mat 2:6,Ezek 38:8,4,israel land people out
Mat 2:6,1 Kin 9:7,5,among israel land people out
Mat 2:6,Ezek 11:17,4,israel land people out
Mat 2:6,2 Chron 6:5,5,among israel land people out
Mat 2:8,Gen 37:14,4,word bring go sent
Mat 2:8,Deut 1:22,4,search word bring go
Mat 2:9,2 Kin 8:9,4,king stood went before
Mat 2:9,2 Sam 24:20,4,king saw went before
Mat 2:9,Josh 8:14,4,king saw went before
Mat 2:9,Est 7:7,4,king stood saw went
Mat 2:9,Gen 41:46,4,king stood went before
Mat 2:11,Num 22:31,4,down opened saw fell
Mat 2:11,1 Kin 17:23,4,down house child mother
Mat 2:11,2 Chron 7:3,4,down house worshipped saw
Mat 2:13,Jer 25:9,4,bring take destroy behold
Mat 2:13,Ezek 6:3,4,word bring destroy behold
Mat 2:15,Deut 13:5,5,death spoken prophet egypt out
Mat 2:16,2 Chron 32:21,4,men forth slew sent
Mat 2:16,2 Chron 25:5,5,old according men years forth
Mat 2:16,1 Kin 2:32,4,two thereof men slew
Mat 2:16,2 Kin 16:10,4,saw thereof according sent
Mat 2:16,Jer 39:4,4,saw two men forth
Mat 2:16,Judges 20:21,4,children two men forth
Mat 2:16,Josh 18:20,4,coasts children thereof according
Mat 2:16,Num 13:32,4,saw children thereof men
Mat 2:16,1 Kin 21:13,4,children two men forth
Mat 2:16,Num 26:4,4,old children years forth
Mat 2:16,Eccl 9:11,5,saw men time under wise
Mat 2:16,Num 1:26,5,old children according years forth
Mat 2:16,Num 1:24,5,old children according years forth
Mat 2:16,Num 1:22,5,old children according years forth
Mat 2:16,Num 1:28,5,old children according years forth
Mat 2:16,Num 1:40,5,old children according years forth
Mat 2:16,Num 1:42,5,old children according years forth
Mat 2:16,Num 1:45,4,old children years forth
Mat 2:16,2 Sam 23:20,4,two men time slew
Mat 2:16,Num 1:32,5,old children according years forth
Mat 2:16,Num 1:34,5,old children according years forth
Mat 2:16,2 Sam 10:6,4,saw children men sent
Mat 2:16,Judges 18:2,4,coasts children men sent
Mat 2:16,Num 1:20,5,old children according years forth
Mat 2:16,2 Sam 11:1,4,children time forth sent
Mat 2:16,Gen 41:8,4,thereof men sent wise
Mat 2:16,Num 1:38,5,old children according years forth
Mat 2:16,Num 1:30,5,old children according years forth
Mat 2:16,Num 1:36,5,old children according years forth
Mat 2:18,Jer 9:10,4,because lamentation weeping voice
Mat 2:18,Jer 31:15,7,because comforted heard lamentation weeping voice children
Mat 2:18,Jer 3:21,4,heard weeping voice children
Mat 2:18,Josh 5:6,4,because would voice children
Mat 2:20,2 Kin 8:1,4,life arise go land
Mat 2:20,Deut 10:11,4,arise go land take
Mat 2:20,Josh 1:2,5,arise israel dead go land
Mat 2:20,Josh 8:1,4,arise go land take
Mat 2:20,Exo 4:19,4,life dead go sought
Mat 2:20,Deut 25:5,4,dead go take child
Mat 2:22,2 Kin 20:5,4,father heard god go
Mat 2:22,Judges 19:15,4,turned aside thither go
Mat 2:22,Isa 38:5,4,father heard god go
Mat 3:3,Isa 40:3,6,prepare wilderness make way voice straight
Mat 3:3,Isa 42:16,4,paths make way straight
Mat 3:5,Num 11:24,4,about went round out
Mat 3:5,Num 34:12,4,about jordan round out
Mat 3:5,2 Chron 23:2,4,about went jerusalem out
Mat 3:5,Jer 52:7,4,about went round out
Mat 3:5,Neh 12:28,4,about jerusalem round out
Mat 3:5,Neh 12:29,4,about jerusalem round out
Mat 3:10,Gen 1:12,4,good forth tree fruit
Mat 3:10,Jer 22:7,4,fire down cast every
Mat 3:10,Josh 10:27,4,trees down cast laid
Mat 3:10,Judges 9:11,4,good tree trees fruit
Mat 3:10,Song 2:3,4,tree trees down fruit
Mat 3:10,Ezek 19:12,4,fire down cast fruit
Mat 3:10,Jon 1:5,4,forth down cast every
Mat 3:10,Psa 1:3,4,forth tree fruit bringeth
Mat 3:10,2 Kin 3:25,5,good trees down cast every
Mat 3:10,Judges 9:48,4,trees down laid axe
Mat 3:10,Deut 20:19,4,tree trees down axe
Mat 3:16,Isa 42:5,4,god heavens spirit out
Mat 3:16,Gen 21:19,5,opened god saw water went
Mat 3:16,2 Sam 15:24,4,god lo went out
Mat 3:16,Ezek 1:1,4,opened god saw heavens
Mat 4:4,1 Kin 13:5,4,word god man out
Mat 4:4,1 Kin 13:1,4,word god man out
Mat 4:4,Dan 6:12,4,god answered every man
Mat 4:4,Deut 8:3,8,word live every proceedeth mouth man out bread
Mat 4:4,Jer 49:5,4,god every man out
Mat 4:4,Neh 5:13,4,god every man out
Mat 4:4,Isa 45:23,4,word every mouth out
